Rk,Player,Pos,Age,Tm,G▼,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Maxi Kleber\klebima01,PF,28,DAL,74,1890,13.6,.605,.621,.181,6.3,15.1,10.8,6.3,0.6,3.8,9.5,13.9,,3.2,1.7,4.8,.123,,0.4,0.0,0.4,1.1
2,Mikal Bridges\bridgmi01,SF,23,PHO,73,2042,12.9,.620,.401,.252,3.5,12.4,7.9,8.6,2.4,2.0,12.0,12.7,,2.5,2.3,4.8,.113,,-0.6,1.5,0.8,1.5
3,Dillon Brooks\brookdi01,SG,24,MEM,73,2112,11.3,.510,.385,.190,3.5,8.6,6.1,10.5,1.4,1.1,9.7,25.2,,-0.4,1.6,1.2,.027,,-2.6,-1.4,-4.1,-1.1
4,Justin Holiday\holidju01,SF,30,IND,73,1826,12.1,.585,.681,.138,1.9,12.2,7.1,6.7,2.3,2.2,7.9,13.4,,1.6,2.6,4.2,.112,,-0.5,1.8,1.3,1.5
5,Nikola Jokić\jokicni01,C,24,DEN,73,2336,24.9,.605,.238,.281,8.0,26.1,17.1,35.2,1.8,1.7,15.8,26.6,,6.7,3.1,9.8,.202,,5.5,2.0,7.4,5.5
6,Monte Morris\morrimo01,PG,24,DEN,73,1636,14.9,.545,.304,.157,1.6,7.7,4.7,22.1,1.7,1.0,8.1,17.5,,2.7,1.1,3.8,.112,,0.4,-0.5,-0.2,0.8
7,Duncan Robinson\robindu01,SG,25,MIA,73,2166,13.1,.684,.882,.105,0.5,11.0,6.0,7.1,0.8,0.9,8.9,16.0,,3.7,1.6,5.3,.118,,1.5,-1.0,0.5,1.3
8,Delon Wright\wrighde01,PG,27,DAL,73,1570,15.4,.554,.309,.243,4.7,13.8,9.4,21.0,2.6,1.2,13.8,14.4,,2.6,1.8,4.4,.134,,0.0,1.8,1.9,1.5
9,Bam Adebayo\adebaba01,PF,22,MIA,72,2417,20.3,.598,.018,.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,,4.6,3.9,8.5,.168,,1.4,2.0,3.4,3.3
10,Harrison Barnes\barneha02,PF,27,SAC,72,2482,13.3,.574,.338,.337,3.4,12.9,8.1,9.2,0.8,0.5,8.8,17.4,,3.4,1.1,4.6,.088,,0.0,-1.3,-1.3,0.5
11,Nemanja Bjelica\bjeline01,PF,31,SAC,72,2011,15.7,.602,.490,.129,6.1,19.9,12.8,14.7,1.5,1.9,12.5,17.0,,3.4,1.9,5.3,.127,,1.2,0.5,1.7,1.9
12,Terence Davis\daviste02,SG,22,TOR,72,1209,13.8,.588,.555,.135,4.5,16.0,10.3,14.2,1.5,1.1,14.1,19.0,,1.2,1.9,3.1,.122,,0.1,0.7,0.8,0.8
13,Markelle Fultz\fultzma01,PG,21,ORL,72,1996,14.3,.517,.175,.206,2.1,11.0,6.4,29.0,2.2,0.5,14.9,21.4,,0.6,2.0,2.7,.065,,-1.8,0.0,-1.8,0.1
14,Tobias Harris\harrito02,PF,27,PHI,72,2469,17.2,.556,.304,.184,3.1,19.1,11.1,14.6,1.0,1.4,7.6,23.9,,3.5,2.7,6.2,.121,,1.3,-0.5,0.8,1.8
15,Buddy Hield\hieldbu01,SG,27,SAC,72,2216,16.0,.566,.592,.117,2.8,14.1,8.3,15.5,1.4,0.7,12.1,27.2,,1.4,1.5,3.0,.064,,2.5,-1.4,1.1,1.7
16,Joe Ingles\inglejo01,PF,32,UTA,72,2137,12.6,.595,.638,.170,1.4,12.5,7.2,24.4,1.5,0.4,19.3,15.1,,2.7,2.1,4.8,.108,,0.0,0.7,0.7,1.5
17,Cory Joseph\josepco01,PG,28,SAC,72,1759,10.1,.517,.386,.170,2.7,9.4,6.0,19.1,1.5,1.1,15.3,12.9,,1.2,1.1,2.3,.062,,-2.1,0.1,-2.0,0.0
18,Furkan Korkmaz\korkmfu01,SG,22,PHI,72,1559,12.0,.579,.632,.181,1.3,10.6,6.0,7.3,1.3,0.9,8.8,18.4,,1.4,1.4,2.8,.085,,-0.3,-1.0,-1.3,0.3
19,P.J. Tucker\tuckepj01,PF,34,HOU,72,2467,8.3,.559,.702,.113,4.7,15.6,10.1,6.0,1.4,1.2,13.9,8.7,,1.6,2.4,4.0,.078,,-2.4,0.6,-1.9,0.1
20,Ivica Zubac\zubaciv01,C,22,LAC,72,1326,21.7,.651,.005,.431,15.9,26.4,21.3,9.1,0.6,4.4,11.8,16.4,,4.4,2.3,6.6,.241,,1.9,0.8,2.8,1.6
21,Jordan Clarkson\clarkjo01,SG,27,TOT,71,1705,17.3,.574,.476,.190,3.3,8.7,6.1,13.2,1.3,0.8,9.4,26.3,,2.4,1.0,3.4,.096,,2.4,-1.3,1.1,1.3
22,Dorian Finney-Smith\finnedo01,PF,26,DAL,71,2120,12.3,.595,.580,.207,7.3,12.7,10.0,7.2,1.0,1.6,10.8,12.9,,3.3,1.5,4.9,.110,,0.1,-0.3,-0.2,0.9
23,Jerami Grant\grantje01,PF,25,DEN,71,1892,14.4,.591,.397,.309,3.4,11.2,7.3,6.6,1.3,2.8,8.0,18.0,,2.8,1.6,4.4,.111,,0.1,-0.6,-0.5,0.7
24,Tim Hardaway Jr.\hardati02,SG,27,DAL,71,2091,14.5,.581,.580,.206,1.3,10.2,5.8,9.7,0.9,0.2,6.7,21.1,,3.4,1.1,4.4,.102,,1.2,-1.4,-0.1,1.0
