
Year,Age,Tm,Lg,Lev,Aff,,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO
2016,28,Scottsdale,AZFL,Fal,,LF,12,12,,96.0,13,13,0,0,0,1.000,1.22,1.08,,,,,,,
2016,28,Scottsdale,AZFL,Fal,,OF,14,14,,114.0,16,16,0,0,0,1.000,1.26,1.14,,,,,,,
2016,28,Scottsdale,AZFL,Fal,,RF,2,2,,18.0,3,3,0,0,0,1.000,1.50,1.50,,,,,,,
2017,29,2 Teams,2 Lgs,A-A+,NYM,LF,77,76,,657.0,114,102,2,10,0,.912,1.42,1.35,,,,,,,
2017,29,2 Teams,2 Lgs,A-A+,NYM,OF,80,79,,681.0,121,109,2,10,0,.917,1.47,1.39,,,,,,,
2017,29,St. Lucie,FLOR,A+,NYM,CF,3,3,,24.0,7,7,0,0,0,1.000,2.63,2.33,,,,,,,
2017,29,St. Lucie,FLOR,A+,NYM,LF,33,32,,281.0,56,52,1,3,0,.946,1.70,1.61,,,,,,,
2017,29,St. Lucie,FLOR,A+,NYM,OF,36,35,,305.0,63,59,1,3,0,.952,1.77,1.67,,,,,,,
2017,29,Columbia,SALL,A,NYM,LF,44,44,,376.0,58,50,1,7,0,.879,1.22,1.16,,,,,,,
2017,29,Columbia,SALL,A,NYM,OF,44,44,,376.0,58,50,1,7,0,.879,1.22,1.16,,,,,,,
2018,30,Binghamton,EL,AA,NYM,LF,59,55,,468.0,83,79,3,1,0,.988,1.58,1.39,,,,,,,
2018,30,Binghamton,EL,AA,NYM,OF,59,55,,468.0,83,79,3,1,0,.988,1.58,1.39,,,,,,,
2019,31,Syracuse,IL,AAA,NYM,LF,55,55,,450.0,89,87,1,1,0,.989,1.76,1.60,,,,,,,
2019,31,Syracuse,IL,AAA,NYM,OF,55,55,,450.0,89,87,1,1,0,.989,1.76,1.60,,,,,,,
Minors (1 season),Minors (1 season),Minors (1 season),,Minors,,CF,3,3,,24.0,7,7,0,0,0,1.000,2.63,2.33,,,,,,,
Minors (3 seasons),Minors (3 seasons),Minors (3 seasons),,Minors,,LF,191,186,,1575.0,286,268,6,12,0,.958,1.57,1.43,,,,,,,
Minors (3 seasons),Minors (3 seasons),Minors (3 seasons),,Minors,,OF,194,189,,1599.0,293,275,6,12,0,.959,1.58,1.45,,,,,,,
Other (1 season),Other (1 season),Other (1 season),,Other,,LF,12,12,,96.0,13,13,0,0,0,1.000,1.22,1.08,,,,,,,
Other (1 season),Other (1 season),Other (1 season),,Other,,OF,14,14,,114.0,16,16,0,0,0,1.000,1.26,1.14,,,,,,,
Other (1 season),Other (1 season),Other (1 season),,Other,,RF,2,2,,18.0,3,3,0,0,0,1.000,1.50,1.50,,,,,,,
All Levels (1 Season),All Levels (1 Season),All Levels (1 Season),,,,CF,3,3,,24.0,7,7,0,0,0,1.000,2.63,2.33,,,,,,,
All Levels (4 Seasons),All Levels (4 Seasons),All Levels (4 Seasons),,,,LF,203,198,,1671.0,299,281,6,12,0,.960,1.55,1.41,,,,,,,
All Levels (4 Seasons),All Levels (4 Seasons),All Levels (4 Seasons),,,,OF,208,203,,1713.0,309,291,6,12,0,.961,1.56,1.43,,,,,,,
All Levels (1 Season),All Levels (1 Season),All Levels (1 Season),,,,RF,2,2,,18.0,3,3,0,0,0,1.000,1.50,1.50,,,,,,,
